diffNuisances run on fitDiagnosticsM400.root, at 2021-01-20 17:30:09.866872 with the following options ... {'absolute_values': False, 'show_all_parameters': False, 'format': 'text', 'stol2': 0.5, 'pullDef': '', 'vtol': 0.3, 'stol': 0.1, 'plotfile': '1', 'vtol2': 2.0, 'poi': 'r'}

name                                              b-only fit            s+b fit         rho
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin13      ! +0.00, 0.47!        +0.00, 0.68       +0.05
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin14_TT         +0.00, 0.67        +0.00, 0.99       +0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin14_Wjets      ! +0.00, 0.40!        +0.00, 0.67       +0.03
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin14_WpHWWlnuqq_M125         +0.00, 0.68        +0.00, 0.99       +0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin14_ggWW         +0.00, 0.68        +0.00, 0.99       +0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin14_qqWWqq         +0.00, 0.68        +0.00, 0.99       +0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin14_tW         +0.00, 0.65        +0.00, 0.98       +0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin15      ! +0.00, 0.44!        +0.00, 0.69       +0.01
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin16      ! +0.00, 0.41!        +0.00, 0.65       +0.01
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin17      ! +0.00, 0.44!        -0.00, 0.73       -0.01
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin18_MultiV         +0.00, 0.68        +0.00, 0.99       +0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin18_TT         +0.00, 0.67        +0.00, 0.99       +0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin18_Wjets      ! +0.00, 0.42!        +0.00, 0.65       +0.01
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin18_ggWW         +0.00, 0.68        +0.00, 0.99       +0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin18_qqWWqq         +0.00, 0.68        +0.00, 0.99       +0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin18_tW         +0.00, 0.67        +0.00, 0.99       +0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin19         +0.00, 0.53        +0.00, 0.73       +0.04
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin1_DY         +0.00, 0.59        -0.00, 0.94       -0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin1_MultiV         +0.00, 0.68        -0.00, 0.99       -0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin1_QCD         +0.00, 0.65        -0.00, 0.98       -0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin1_TT         +0.00, 0.67        -0.00, 0.99       -0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin1_Wjets      ! +0.00, 0.40!        -0.00, 0.65       -0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin20      ! +0.00, 0.48!        +0.00, 0.75       +0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin21_DY         +0.00, 0.59        +0.00, 0.92       +0.02
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin21_MultiV         +0.00, 0.68        +0.00, 0.99       +0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin21_SingleTop         +0.00, 0.68        +0.00, 0.99       +0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin21_TT         +0.00, 0.67        +0.00, 0.99       +0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin21_Wjets      ! +0.00, 0.49!        +0.00, 0.76       +0.05
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin21_WmHWWlnuqq_M125         +0.00, 0.68        +0.00, 0.99       +0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin21_ggWW         +0.00, 0.68        +0.00, 0.99       +0.00
